date|amount
01.01.1964|30
01.01.1965|40
01.01.1966|45
01.01.1967|100
01.01.1968|130
01.01.1969|160
01.01.1970|165
01.01.1971|180
01.01.1972|250
01.01.1973|270
01.01.1974|300
01.01.1975|330
01.01.1976|270
01.01.1977|300
01.01.1978|330
01.01.1979|400
01.01.1980|410
01.01.1981|420
01.01.1982|450
01.01.1983|450
01.01.1984|600
01.01.1985|660
01.01.1986|750
01.01.1987|750
01.01.1988|760
01.01.1989|810
01.01.1990|960
01.01.1991|1080
01.01.1992|1100
01.01.1993|1000
01.01.1994|1100
01.01.1995|1400
01.01.1996|1500
01.01.1997|1550
01.01.1998|1650
01.01.1999|1700
01.01.2000|1800
01.01.2001|1800
01.01.2002|2000
01.01.2003|2200
01.01.2004|2500
01.01.2005|2500
01.01.2006|2750
01.01.2007|3000
01.01.2008|2800
01.01.2009|2900
01.01.2010|4000
01.01.2011|4500
01.01.2012|5000
01.01.2013|5000
01.01.2014|5250
