country,area_id,theme_class,start_date,end_date
Albania,ALB,WP,1955,1968
Soviet Union,CCCP,WP,1955,1990
Bulgaria,BGR,WP,1955,1990
GDR,DDR,WP,1955,1990
Poland,POL,WP,1955,1990
Romania,ROU,WP,1955,1990
Czechoslovakia,CSSR,WP,1955,1990
Hungary,HUN,WP,1955,1990
Belgium,BEL,NATO,1949,9999
Denmark,DNK+GRL,NATO,1949,1979
Denmark,DNK,NATO,1979,9999
France,FRA,NATO,1949,1966
France,FRA,NATO_no_military,1966,2009
France,FRA,NATO,2009,9999
Iceland,ISL,NATO,1949,9999
Italy,ITA,NATO,1949,1954
Canada,,NATO,1949,9999
Luxembourg,LUX,NATO,1949,9999
Netherlands,NLD,NATO,1949,9999
Norway,NOR,NATO,1949,9999
Portugal,PRT,NATO,1949,9999
USA,,NATO,1949,9999
United Kingdom,GBR+NIRL+MLT,NATO,1949,1964
United Kingdom,GBR+NIRL,NATO,1964,9999
Turkey,TUR,NATO,1952,9999
Greece,GRC,NATO,1952,1974
Greece,GRC,NATO_no_military,1974,1981
Greece,GRC,NATO,1981,9999
FRG,BRD-SAAR,NATO,1955,1956
FRG,BRD,NATO,1956,1990
Spain,ESP,NATO,1982,1986
Spain,ESP,NATO_no_military,1986,1999
Spain,ESP,NATO,1999,9999
Germany,DEU,NATO,1990,9999
