id|name|location|lat|lng|date|effectDate|description|category
1|Pledge Agreement of Malmö|Malmö|55.6049|13.0033|26.06.1803|26.07.1803|The agreement was signed between King Gustav IV. Adolf of Sweden and Frederick Francis I, Grand Duke of Mecklenburg-Schwerin. It regulated the ceding of the Hanseatic City of Wismar from the Kingdom of Sweden to the (Grand) Duchy of Mecklenburg-Schwerin.|A
2|Riksdag of the Estates|Porvoo|60.392|25.6657|29.03.1809|17.09.1809|During the Finnish War between Sweden and Russia, Finland was again conquered by the armies of Tsar Alexander I. The four Estates of occupied Finland were assembled at the Diet of Porvoo on March 29, 1809 to pledge allegiance to Alexander I of Russia.|A
3|Treaty of Fredrikshamn|Fredrikshamn|60.5662|27.1987|27.09.1809||The peace treaty between Sweden and Imperial Russia concluded the Finnish War. Sweden ceded parts of the provinces Lappland and Västerbotten, Åland, and all provinces east thereof to Russia. The ceded territories came to constitute the Grand Duchy of Finland.|A
4|Treaty of Kiel|Kiel|54.3233|10.1235|14.01.1814||The treaty ended the hostilities between the Kingdoms of Sweden and Denmark-Norway in the ongoing Napoleonic Wars. Norway joins a personal union with Sweden, in exchange Denmark gets Swedish Pomerania. Denmark is also given control over Faroe Islands and Greenland.|A
5|Convention of Moss|Moss|59.4592|10.7008|14.08.1814||The convention was a cease fire agreement between the Swedish King and the Norwegian government. It followed the Swedish-Norwegian War due to Norways claim to sovereignty. It also became the de facto peace agreement and formed the basis for the personal union between Sweden and Norway.|A
6|Election of Charles XIII|Oslo|59.9133|10.7403|04.11.1814||The election of Charles XIII as the King of Norway from the Norwegian Storting (Parliament) established the Union between Sweden and Norway to the United Kingdoms of Sweden and Norway.|A
7|Congress of Vienna|Vienna|48.213|16.3672|09.06.1815||The conference of ambassadors of European states chaired by Metternich, was held in Vienna between 1814 and 1815. The objective was to settle the many issues arising from the Napoleonic Wars. Important changes for Denmark: The Duchy of Lauenburg was ceded from Prussia in exchange to Pomerania.|A
8|London Protocol|London|51.5096|-0.126457|05.08.1852||The treaty after World War I was recognized by the five major European powers, Denmark and Sweden. The Protocol affirmed the integrity of the Danish federation. The duchies of Schleswig, Holstein and Lauenburg were ceded from Prussia, joining a personal union with the Kingdom of Denmark.|A
9|Treaty of Vienna|Vienna|48.213|16.3672|30.10.1864||The peace treaty ended the Second War of Schleswig. Based on the terms of the treaty, Schleswig, Holstein and Lauenburg were ceased from Denmark to Austria and Prussia.|A
10|Home Rule for Iceland|Reykjavik|64.1435|-21.927|02.08.1874||Iceland is granted home rule by Denmark. But it stays officially a part of the Kingdom of Denmark.|A
