Ereignisse der SDW-Geschichte|||||
|||||
ID|Name|Beschreibung|Datum|Medien|Kategorie
E##||optional|TT.MM.JJJJ|Liste mit ID aus Tabelle „Medien“|
E01|Gründung der sdw|Geburtsstunde der Stiftung der Deutschen Wirtschaft: Sie wird auf Initiative der Bundesvereinigung der Deutschen Arbeitgeberverbände (BDA) als eingetragener Verein mit Sitz in Köln gegründet. Ziel ist es, ein Studienförderwerk der Wirtschaft zur Begabtenförderung zu errichten. Einer der Mitgründer ist Dr. Klaus Murmann, damaliger Präsident der BDA. Erster Vorsitzender ist Dr. Josef Siegers, Geschäftsführender Vorstand ist Hans-Jürgen Brackmann. |1.1.1994||sdwEvent
E02|Beginn der operativen Arbeit in Berlin|Mit Sitz in der Uhlandstraße in Berlin-Charlottenburg nimmt die sdw ihre operative Arbeit auf.|1.1.1995||sdwEvent
E03|Gründung des Fördervereins|"Der Förderverein wird gegründet. Er unterstützt zu 100 % das Studienförderwerk. Zweck des Vereins ist die Förderung von Maßnahmen, die der Bildung, Wissenschaft und Forschung, insbesondere den Zielen der ""Stiftung der Deutschen Wirtschaft e. V."" dienen (Auszug aus der Satzung).
"|1.1.1996||sdwEvent
E04|Umzug in das Haus der Deutschen Wirtschaft|"Die sdw zieht um: von der Uhlandstraße in das neu errichtete Haus der Deutschen Wirtschaft in Berlin-Mitte, gemeinsam
mit den Spitzenverbänden BDA, BDI und DIHK."|1.1.1999||sdwEvent
E05|Prof. Dr. Klaus übernimmt Vorstandsvorsitz|Prof. Dr. Klaus Murmann, einer der Gründungsväter der sdw, übernimmt im Jahr 2001 den Vorstandsvorsitz von Dr. Josef Siegers.|1.1.2001||sdwEvent
E06|Hans-Jürgen Brackmann wird Generalsekretär|Hans-Jürgen Brackmann, bis dato Geschäftsführender Vorstand, übernimmt die Funktion des Generalsekretärs der sdw.|1.1.2001||sdwEvent
E07|Gründung der selbstständigen Stiftung|"Die selbstständige ""Stiftung der Deutschen Wirtschaft (sdw)"" wird gegründet. Den Vorsitz übernimmt Dr. Klaus Murmann."|1.1.2003||sdwEvent
E08|Einberufung des Kuratoriums|Arbeitgeberpräsident Dr. Dieter Hundt wird Vorsitzender des Kuratoriums der selbstständigen Stiftung.|1.1.2003||sdwEvent
E09|Vorsitz des Fördervereins|Dr. Werner Brinker (Vorstandsvorsitzender der EWE AG) wird Vorsitzender des Fördervereins.|1.6.2003||sdwEvent
E10|Teilnehmerrekord|Erstmals nehmen über 3.000 junge Menschen direkt an den Förderprogrammen der sdw teil.|1.10.2009||sdwEvent
E10|Neuer Teilnehmerrekord|Im Jahr 2010 fördert die sdw in ihren Programmen und Projekten zum ersten Mal über 4.000 Teilnehmer.|1.10.2010||sdwEvent
E11|Verabschiedung von Prof. Dr. Klaus Murmann|"Für die sdw geht am 31. Dezember 2009 eine Ära zu Ende: Prof. Dr. Klaus Murmann, Mitgründer der Stiftung der Deutschen Wirtschaft
und Namensgeber des Studienförderwerks, beendete seine aktive Rolle als Vorstandsvorsitzender. Zum 1. Januar 2010 trat Ingo Kramer
seine Nachfolge an. Seitdem begleitet Prof. Dr. Klaus Murmann die Arbeit der Stiftung als Ehrenvorsitzender. Am 19. Februar 2010 wird
Prof. Dr. Klaus Murmann vor über 300 Gästen in einer emotional sehr berührenden Feier als Vorstandsvorsitzender verabschiedet."|19.2.2010||sdwEvent
E13|Bildungspolitisches Forum 2011|"Zu Ehren von Hans-Jürgen Brackmann, gemeinsam mit Prof. Dr. Klaus Murmann seit ihrer Gründung eine der prägenden Figuren der Stiftung der Deutschen Wirtschaft und ihr langjähriger Generalsekretär, ging die sdw im Februar 2011 erstmals mit einem Bildungspolitischen Forum an die Öffentlichkeit. Thema dieses bildungspolitischen Debattenbeitrags: ""Herausforderung Bildungsgerechtigkeit"". Zahlreiche Weggefährten Hans-Jürgen Brackmanns und weitere Gäste aus Wirtschaft, Wissenschaft, Politik, Verbänden und Medien folgten der Einladung zu der Veranstaltung."|18.2.2011||sdwEvent
