Medien|||||
|||||
ID|Dateiname|Beschreibung|Quellenangabe|Crop|Type
selbtgewählt|wie im Ordner|optional|||
M01|DrMurmann2.jpg|Einer der Gründungsväter der sdw: der damalige Arbeitgeberpräsident Dr. Klaus Murmann|Quelle: Sauer-Sundstrand|FALSCH|IMAGE
M02|Siegers.jpg|Der erste Vorstandsvorsitzende der Stiftung der Deutschen Wirtschaft: Dr. Joseph Siegers|Quelle: MINT-EC|FALSCH|IMAGE
M03|PortraitBrackmann.jpg|Übernahm als Geschäftsführender Vorstand die Leitung der sdw: Hans-Jürgen Brackmann|Quelle: photothek.net|WAHR|IMAGE
M04|erstessdwLogo.jpg|Das erste Logo der sdw|Quelle: sdw|WAHR|IMAGE
M05|UhlandstrasseBerlinWikipedia.jpg|Die Uhlandstraße in Berlin-Charlottenburg|Quelle: Wikipedia|WAHR|IMAGE
M06|LogoBMBF.jpg||Quelle: Bundesministerium für Bildungund Forschung|FALSCH|IMAGE
M07|TRANSJOB.jpg|Eine der regionalen Projektgruppen von TRANS-JOB|Quelle: privat|WAHR|IMAGE
M08|TRANSJOBErlebnisArbeitswelt.jpg|Zum Abschluss des Projektes wurde die Broschüre „Erlebnis Arbeitswelt“ veröffentlicht|Quelle: sdw|WAHR|IMAGE
M09|satzungsdwalumni.jpg|Die Satzung des Alumni-Vereins|Quelle: sdw Alumni e. V.|WAHR|IMAGE
M10|HausderDeutschenWirtschaft.jpg|Das Haus der Deutschen Wirtschaft, Sitz der Spitzenverbände BDA, BDI und DIHK, in Berlin-Mitte am Spreeufer|Quelle: BMVI|WAHR|IMAGE
M11|PortraitDrKlausMurmann.jpg|Vorstandsvorsitzender der sdw von 2001-2010: Prof. Dr. Klaus Murmann|Quelle: photothek.net|WAHR|IMAGE
M12|HansJuergenBrackmann1.jpg|sdw-Generalsekretär Hans-Jürgen Brackmann (2001-2011)|Quelle: photothek.net|WAHR|IMAGE
M13|LogoZeichensetzen.jpg|Das Projektlogo|Quelle: sdw|FALSCH|IMAGE
M14|Zeichensetzen.jpg|Jugendliche Teilnehmer des Integrationsprojekts „Zeichen setzen!“|Quelle: privat|WAHR|IMAGE
M15|DBneu.jpg||Quelle: Deutsche Bahn|FALSCH|IMAGE
M16|LogoESFEuropa.jpg||Quelle: Europäische Union|FALSCH|IMAGE
M17|zweitessdwlogo.jpg||Quelle: sdw|WAHR|IMAGE
M19|ProfDrDieterHundt.jpg|Prof. Dr. Dieter Hundt, Vorsitzender des Kuratoriums (2003-2013)|Quelle: BDA|FALSCH|IMAGE
M20|DrWernerBrinker.jpg|Dr. Werner Brinker, Vorsitzender des Fördervereins (2003-2011)|Quelle: EWE AG|WAHR|IMAGE
M21|MINToringImagefoto.jpg|Teilnehmer am Projekt Mit MINT zum Beruf|Quelle: Kooperationspartner der sdw|WAHR|IMAGE
M22|MINToringSiemens.jpg||Quelle: Kooperationspartner der sdw|WAHR|IMAGE
M23|MINToringTeilnehmerin.jpg|Teilnehmerin am Projekt Mit MINT zum Beruf|Quelle: Kooperationspartner der sdw|WAHR|IMAGE
M25|QCMYKzweizeillig300ppi.jpg|Projektlogo QVP|Quelle: sdw|FALSCH|IMAGE
