Projekte der SDW|||||
|||||
ID|Name|Beschreibung|Start|End|Medien
P##|||||Liste mit ID aus Tabelle „Medien“
P01|Studienförderwerk Klaus Murmann|Das Studienförderwerk vergibt Stipendien an leistungsstarke Studierende und Promovierende mit Gemeinsinn und Unternehmergeist.<br/><br/><b>Hauptförderer: Bundesministerium für Bildung und Foschung</b>|05.01.1994|31.12.9999|M210,M201,M202,M203,M204,M205,M206,M207,M208,M209,M211,M212
P02|TRANS-JOB|<b>Ziel:</b> durch systematische Kooperationen von Schulen mit Unternehmen die Berufswahlvorbereitung und Berufsorientierung junger Menschen fördern.<br/><br/><b>Hauptförderer: Bundesministerium für Bildung und Forschung</b>|01.08.1999|31.12.2002|
P03|Zeichen setzen! Integration macht Schule|<b>Ziel:</b> ausländische Jugendliche vor allem an der Schnittstelle Schule/Ausbildung zu unterstützen, ihr Selbstwertgefühl stärken und sie bei der Berufswahlvorbereitung unterstützen.<br/><br/><b>Hauptförderer: Deutsche Bahn AG, Europäischer Sozialfonds</b>|01.10.2001|31.12.2003|
P04|Mit MINT zum Beruf|<b>Ziel:</b> über Unterrichtsgestaltung und frühzeitige Praxiskontakte mehr Jugendliche für eine MINT-Ausbildung oder ein MINT-Studium motivieren.<br/><br/><b>Hauptförderer: Bundesministerium für Bildung und Forschung</b>|01.01.2002|31.12.2003|M21,M22,M23
P05|Fernakademie|<b>Ziel:</b> mittels eines Fernlehrgangs Berufstätigen betriebswirtschaftliche Kompetenzen vermitteln.|01.01.2002|31.12.2003|
P06|Ökonomische Bildung online|<b>Ziel:</b> Lehrkräften eine interdisziplinäre und internetbasierte Fortbildung im Bereich Wirtschaftswissen ermöglichen.|01.01.2002|31.12.2003|
P07|SCHULE WIRTSCHAFT Euregios|<b>Ziel:</b> Schüler über die Bundesgrenzen hinaus für die Berufsregion Deutschland.Tschechien.Polen sensibilisieren.<br/><br/><b>Hauptförderer: Robert Bosch Stiftung, Europäische Union</b>|01.11.2003|31.12.2006|M27,M28,M29
P08|Den Qualitätsverbesserungsprozess an Schulen in Bremen und Bremerhaven verbessern (QVP)|<b>Ziel:</b> Schulen dabei unterstützen, ihre Arbeit selbstständig zu überprüfen, zu bewerten und zu verbessern.<br/><br/><b>Hauptförderer: Die Unternehmensverbände im Lande Bremen, Der Senator für Bildung und Wissenschaft im Lande Bremen</b>|01.02.2003|31.12.2006|M25,M26
P09|TRANS-KOMPETENZ|<b>Ziel:</b> lernschwachen Schülern Perspektiven aufzeigen und sie dazu motivieren, die Schule erfolgreich abzuschließen.|15.06.2003|31.12.2003|M30
P10|Ganztagsschulen gestalten – Kooperation, schafft Zukunft|<b>Ziel:</b> Berufsorientierung fest in Schulprogrammen verankern, um Jugendliche frühzeitig in ihrer Berufswahl zu unterstützen.<br/><br/><b>Hauptförderer: Bundesministerium für Bildung und Forschung, Europäischer Sozialfonds</b>|01.09.2004|31.12.2006|M32,M33,M34,M35
P11|Herausforderung Unternehmertum|<b>Ziel:</b> Gründungslust bei den Stipendiaten des Studienförderwerks Klaus Murmann wecken und ihnen frühzeitig unternehmerische Praxiserfahrung ermöglichen.<br/><br/><b>Hauptförderer: Heinz Nixdorf Stiftung</b>|01.12.2004|31.12.9999|M111,M36,M37,M38,M39,M40,M41,M42,M43,M44,M45
P12|MINToring|<b>Ziel:</b> mehr Schüler im norddeutschen Raum für ein Studium im MINT-Bereich begeistern.<br/><br/><b>Hauptförderer: Nordmetall</b>|01.07.2005|31.12.2006|M46
P13|PROFIS – Programm Führungskompetenz in Schulen|<b>Ziel:</b> die Fähigkeiten von Berliner Schulleitern in Führungs- und Managementaufgaben gezielt ausbauen.<br/><br/><b>Hauptförderer: Senatsverwaltung für Bildung und Wissenschaft Berlin, Europäischer Sozialfonds</b>|01.01.2007|31.12.2009|M48
P14|BOSS – Brandenburger Oberschulen und Schüler stärken|<b>Ziel:</b> Verbesserung der Berufsorientierung an Oberschulen in Brandenburg mit Hilfe von stärkenorientierten Future Camps für die Schüler.|01.02.2007|31.12.2007|M49,M50
P15|Schulen auf Erfolgskurs – Hauptschulen verändern sich|<b>Ziel:</b> Schulmanagement und den praxisorientierten Unterricht an Berliner Hauptschulen verbessern.<br/><br/><b>Hauptförderer: Senatsverwaltung für Bildung und Wissenschaft Berlin</b>|01.09.2007|31.12.2009|M51
P16|Studienkolleg – Stipendien für Lehramtsstudierende|<b>Ziel:</b> angehende Lehrkräfte dabei unterstützen, sich mit pädagogischen Führungsaufgaben vertraut zu machen und sich zu engagierten Schulgestaltern von morgen zu entwickeln.<br/><br/><b>Hauptförderer: Robert Bosch Stiftung, Bundesministerium für Bildung und Forschung</b>|10.09.2007|31.12.9999|M53,M54,M55,M56,M57,M58,M59,M60,M61,M62,M63,M64,M65
P17|Studienkompass|<b>Ziel:</b> motiviert junge Menschen aus Familien ohne akademische Erfahrung zur Aufnahme eines Studiums.<br/><br/><b>Hauptförderer: Accenture-Stiftung, Deutsche Bank Stiftung</b>|15.09.2007|31.12.9999|M70,M66,M68,M71,M72,M73,M74,M75,M76,M77,M78,M79,M80,M81,M82,M83
P18|MINToring – Studierende begleiten Schülerinnen und Schüler|<b>Ziel:</b> Jugendliche für MINT-Themen begeistern und bei der Wahl eines passenden MINT-Studiums unterstützen.<br/><br/><b>Hauptförderer: Bundesministerium für Bildung und Forschung</b>|01.10.2007|31.12.2013|M84,M85,M86,M87,M88,M89,M90,M91,M92,M93
P19|Zeig, was Du kannst! Erfolgreich ins Berufsleben starten|<b>Ziel:</b> Jugendliche beim Übergang von der Schule in die Berufsausbildung oder die weiterführende Schule begleiten.<br/><br/><b>Hauptförderer: Bundesministerium für Bildung und Forschung</b>|01.11.2007|31.12.2011|M94,M95,M96,M97,M98
P20|Unternehmen:Jugend. Zusammenarbeit mit Zukunft|<b>Ziel:</b> Jugendliche und junge Erwachsene mit gefährdetem Schulabschluss und ohne Berusfausbildung zum Schulabschluss motivieren und auf die Arbeitswelt vorbereiten.<br/><br/><b>Hauptförderer: Bundesministerium für Familie, Senioren, Frauen und Jugend</b>|01.01.2009|31.12.2012|M99,M100,M101,M102,M103,M104,M105,M106
P21|Elternkompass|<b>Ziel:</b> Beratung von Eltern und anderen Interessierten zu den Angeboten der Begabtenförderwerke und weitere Stipendiengeber.<br/><br/><b>Hauptförderer: Bundesministerium für Bildung und Forschung</b>|01.04.2011|31.12.9999|M138
P22|Netzwerk SCHULEWIRTSCHAFT Ostdeutschland|<b>Ziel:</b> junge Menschen in Ostdeutschland bei der Berufsorientierung unterstützen und Akteure am Übergang Schule-Berufsausbildung miteinander vernetzen.<br/><br/><b>Hauptförderer: Bundesministerium des Innern</b>|01.07.2011|31.12.2012|M139,M140,M141,M142
