date|amount
01.01.1964|1
01.01.1965|1
01.01.1966|1.5
01.01.1967|2
01.01.1968|4
01.01.1969|5
01.01.1970|5.5
01.01.1971|6
01.01.1972|7
01.01.1973|9
01.01.1974|10
01.01.1975|11
01.01.1976|9
01.01.1977|9.5
01.01.1978|10
01.01.1979|12
01.01.1980|12.5
01.01.1981|14
01.01.1982|15
01.01.1983|14.0
01.01.1984|18.0
01.01.1985|22
01.01.1986|24
01.01.1987|23
01.01.1988|25
01.01.1989|27
01.01.1990|32
01.01.1991|36
01.01.1992|38.5
01.01.1993|33
01.01.1994|35
01.01.1995|50
01.01.1996|56
01.01.1997|60
01.01.1998|68
01.01.1999|72
01.01.2000|80
01.01.2001|85
01.01.2002|110
01.01.2003|125
01.01.2004|160
01.01.2005|170
01.01.2006|200
01.01.2007|225
01.01.2008|200.00
01.01.2009|265
01.01.2010|350
01.01.2011|400
01.01.2012|465
01.01.2013|520
01.01.2014|600
