ID|TYPE|DESCRIPTION|LINK
M1|picture|Der Schuman-Plan, Titelblatt|data_src/hivents/multimedia/JahreDesAufbausInOstUndWest_buchVertragstextEGKS.jpg
M2|picture|Flagge der EGKS|data_src/hivents/multimedia/Flag_of_the_European_Coal_and_Steel_Community_12_Star_Version.svg
M3|video|Unterzeichnung der Römischen Verträge|data_src/hivents/multimedia/Roemische_Vertraege.mp4
M4|picture|Vertrag von Maastricht, Faksimile der unterzeichneten Seite|data_src/hivents/multimedia/WegeInDieGegenwart_photoVertragsfaksimileMaastricht.jpg
M5|picture|Vertrag von Lissabon, Vertragsunterzeichnung|data_src/hivents/multimedia/3820279524.jpg
M6|picture|Vertrag von Lissabon|data_src/hivents/multimedia/3936736383.jpg
M7|||
M8|||
M9|||
M10|||
M11|||
M12|||
M13|||
M14|||
M15|||
M16|||
M17|||
M18|||
M19|||
M20|||
M21|||
M22|||
M23|||
M24|||
M25|||
M26|||
M27|||
M28|||
M29|||
M30|||
